observation_id,country,city,customer_hospital,observer,visit_date,modality,quantity,brand,model,approx_age_years,estimated_installation_year,confidence,status,source,voice_input_example,agent_follow_up_question,follow_up_answer,notes
1,Panama,Panama City,Hospital DemoCare Pacific,Field User 01,2026-08-18,MR,2,NovaMed,NM-MR 700,7,2019,High,Reported,Voice,I am at Hospital DemoCare Pacific in Panama. They have two MR systems and one CT.,Do you know the brand of the MR systems?,"Yes, NovaMed.",Two MR systems observed in imaging area.
2,Panama,Panama City,Hospital DemoCare Pacific,Field User 01,2026-08-18,CT,1,Aurelia Health,AH-CT 320,5,2021,High,Reported,Voice,I am at Hospital DemoCare Pacific in Panama. They have two MR systems and one CT.,Do you know the brand and approximate age of the CT?,"Aurelia Health, around 5 years old.",Single CT system observed.
3,Brazil,Sao Paulo,Hospital DemoCare Horizon,Sales User 02,2026-08-16,MR,3,BluePeak Medical,BP-MR 500,9,2017,Medium,Estimated,Voice,Hospital DemoCare Horizon has three MR systems. Two look older and one seems newer.,Can you estimate the age of each system?,Two are around 9 years old and one around 3 years.,Aggregate row for older systems.
4,Brazil,Sao Paulo,Hospital DemoCare Horizon,Sales User 02,2026-08-16,MR,1,BluePeak Medical,BP-MR 900,3,2023,Medium,Estimated,Voice,Hospital DemoCare Horizon has three MR systems. Two look older and one seems newer.,Do you know whether the newer system is the same brand?,"Yes, same brand, different model.",Newer MR system.
5,Brazil,Campinas,Clinica DemoCare Light,Field User 03,2026-08-15,CT,2,Orion Imaging,OI-CT 450,11,2015,High,Reported,Voice,At Clinica DemoCare Light I saw two CT scanners.,Do you know the brand and approximate age?,"Orion Imaging, about 11 years.",Potential aging installed base.
6,Brazil,Campinas,Clinica DemoCare Light,Field User 03,2026-08-15,Ultrasound,5,HelixCare,HC-US 40,4,2022,Medium,Reported,Voice,They also have about five ultrasound systems.,Are all five from the same brand?,I think four are HelixCare; one is unknown.,"Four confirmed, one uncertain."
7,Mexico,Mexico City,Centro Medico DemoCare Valley,Account User 04,2026-08-14,MR,1,Zenith MedTech,ZM-MR 810,6,2020,High,Reported,Voice,"Centro Medico DemoCare Valley has one MR, two CTs and several ultrasound systems.",Do you know the MR brand?,"Zenith MedTech, around six years old.",MR observation.
8,Mexico,Mexico City,Centro Medico DemoCare Valley,Account User 04,2026-08-14,CT,2,Aurelia Health,AH-CT 510,8,2018,Medium,Estimated,Voice,"Centro Medico DemoCare Valley has one MR, two CTs and several ultrasound systems.",Can you estimate the CT age?,"Around eight years, both similar.",Two similar CT units.
9,Mexico,Monterrey,Hospital DemoCare North,Field User 05,2026-08-13,Ultrasound,6,NovaMed,NM-US 55,2,2024,High,Reported,Voice,"Hospital DemoCare North has six ultrasound units, mostly new.",Do you know the brand and how new they are?,"NovaMed, roughly two years old.",Recent installation.
10,Chile,Santiago,Clinica DemoCare Andes,Sales User 06,2026-08-12,CT,1,BluePeak Medical,BP-CT 610,13,2013,Medium,Estimated,Voice,At Clinica DemoCare Andes there is one older CT system.,Can you estimate how old it is?,Maybe around thirteen years.,Old CT estimate.
11,Chile,Santiago,Clinica DemoCare Andes,Sales User 06,2026-08-12,MR,2,Orion Imaging,OI-MR 620,5,2021,High,Reported,Voice,They also have two MR systems from the same manufacturer.,Do you know the brand and approximate age?,"Orion Imaging, about five years.",Two MR units.
12,Argentina,Buenos Aires,Hospital DemoCare Park,Field User 07,2026-08-11,MR,1,HelixCare,HC-MR 300,10,2016,Medium,Reported,Voice,Hospital DemoCare Park has one MR that looks around ten years old.,Do you know the brand or model?,"HelixCare, model unknown.",Model not visible.
13,Argentina,Buenos Aires,Hospital DemoCare Park,Field User 07,2026-08-11,CT,3,Zenith MedTech,ZM-CT 430,7,2019,High,Reported,Voice,I also counted three CT scanners.,Are they all the same brand?,"Yes, all Zenith MedTech.",Three CT units.
